"","census_tract_code","year","arrests_B","arrests_W","arrests_total","pct_arr_w","pct_arr_b","pct_arr_t","pct_arr_tot","pct_arr_wow","pct_arr_bob","sir_tot","sir_b","sir_w","sumres_t","sumres_w","sumres_b"
"49",10502,2013,159,224,387,57.8661844484629,41.0746577111857,100,4.67837671208037,3.55437076530046,13.4620269240538,1.36880847481936,202.339155152858,198.623233649535,-1.22523081302643,-1.42541658878326,-1.66843247413635
"50",10502,2014,125,225,355,63.3624331174317,35.2013517319065,100,4.222119147013,3.51118116134268,10.3553972330379,1.23532258293683,192.004328703701,196.064833700393,-1.4330028295517,-1.50131511688232,-2.12481808662415
"51",10502,2015,155,234,393,59.5268379547189,39.4301704400916,100,4.78970396460738,3.99515118403305,9.97361817128885,1.40137690779248,158.213112342763,212.58308269224,-0.622849881649017,-0.620428919792175,-0.746900141239166
"52",10502,2016,140,257,400,64.2339415146213,34.9912521869533,100,4.72137958711536,4.17133304117771,9.84459601997047,1.38140147906688,169.271717529236,207.153243552133,0.184914857149124,-0.341746389865875,-0.516195952892303
"53",10502,2017,190,250,443,56.4206725344166,42.8797111261566,100,5.06106408015446,4.04001228163734,10.370612957808,1.48080368056709,138.562246772122,205.47050001439,0.272987067699432,-0.597571671009064,-0.674178838729858
"54",10502,2018,183,253,441,57.356608478803,41.4871911131263,100,5.09938599229889,3.91938157425911,10.1323293283871,1.49201034157257,140.01374800272,198.693885896484,0.567265391349792,0.0764493718743324,0.274563133716583
"55",10600,2010,175,202,377,53.5666931848316,46.4067886502254,100,9.28319913323976,5.41105247649407,185.972369819341,2.71513453331591,1092.80906061191,290.399832910546,2.15916800498962,1.63074135780334,2.89358115196228
"56",10600,2011,140,215,355,60.5463249788792,39.4255139397353,100,8.9126559714795,6.01213612594726,119.555935098207,2.60672318248799,875.715079347675,304.833458168121,2.61805510520935,1.88710141181946,2.80574369430542
"57",10600,2012,132,148,283,52.2783468738961,46.6266336983398,100,7.39077067718263,4.32230367103764,103.855232100708,2.16154913033443,818.509425690487,277.646456521159,2.66686511039734,1.83993124961853,3.13773536682129
"58",10600,2013,85,191,277,68.9281847708408,30.6748466257669,100,6.93002426759401,5.38316281953722,53.763440860215,2.0268593160194,570.178430658776,295.948542654642,2.8882520198822,1.95897507667542,2.46985936164856
"59",10600,2014,112,180,294,61.2036722203332,38.0822849370962,100,7.38860546354703,4.7668229125288,121.606948968512,2.16097597380143,813.538782794704,278.334426067442,2.85439682006836,1.80433130264282,2.57219433784485
"60",10600,2015,98,172,270,63.680118474639,36.2828582006664,100,6.83354002682797,4.59144176610341,55.6501987507098,1.99862363682719,601.138977024585,275.880062841558,2.70539903640747,1.69229805469513,2.22824382781982
"61",10600,2016,109,166,275,60.3416939294802,39.62195565249,100,6.55370463049022,4.26724248733966,57.6414595452142,1.91685945033939,621.887977170889,265.856313519821,2.45160913467407,1.53328621387482,2.36365652084351
"62",10600,2017,116,188,307,61.2178443503745,37.7727124715076,100,7.426041943833,4.9668436765211,48.9245044285112,2.17198298708597,578.72516696255,281.576413445005,2.31864476203918,1.26636219024658,1.98304903507233
"63",10600,2018,110,146,256,57.0089808668489,42.951971885982,100,6.17298835330713,4.0780983771403,48.0139676996945,1.80549133757101,572.822130550837,268.619416087457,2.01370692253113,0.932809293270111,2.01434063911438
"64",10700,2010,57,108,165,65.4149000605694,34.5245305875227,100,3.82466794928258,4.58774053778514,4.34418108375886,1.11867810946407,152.763833299436,294.205133159262,1.14197540283203,1.37102818489075,1.62419652938843
"65",10700,2011,56,59,115,51.25977410947,48.6533449174631,100,2.65398906094944,2.48515226822796,3.6598915103588,0.776268170048352,135.620879933378,202.015638917289,0.384863317012787,0.410995632410049,1.01492321491241
"66",10700,2012,69,76,147,51.6655336505778,46.9068660774983,100,3.58527840784371,3.16521594269293,5.0251256281407,1.04862316157504,154.709966341557,237.551984537732,0.360709428787231,0.482206493616104,0.919073283672333
"67",10700,2013,68,69,137,50.328227571116,49.598832968636,100,3.17563338819221,2.88932624261966,4.16896572864938,0.928841824221686,134.640017307583,223.812135865973,-0.580724000930786,-0.367453843355179,-0.0774050205945969
"68",10700,2014,66,79,145,54.4452101998622,45.4858718125431,100,3.40128075813375,3.58098000997235,3.65428270859864,0.994833688084005,123.29150019961,251.160634704448,-0.419428378343582,-0.0723412707448006,-0.0632665902376175
"69",10700,2015,84,89,173,51.4153668399769,48.526863084922,100,3.90070122432414,3.84598764098354,4.76974618136392,1.14093748453703,131.201774904378,265.38998253911,-0.361513137817383,-0.00343796866945922,0.295495212078094
